0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
41, 36425, 4.9821, 4.0000, 0.0005, 0.0169, 9.2000, 0.3929, -721.1600, 2119.5614, 15.5000, 24.8889, 0.0001, 0.5000, 104.0428, 0.8113, 0.1555, 61.0000, 0.0346, 10.0070, 1.7366, 7.2321, 6.0000, 34.6558, 9.4300, 14.6086, 19.4198, 96.1143, 17.0000, 0.0147, 0.6422
42, 37785, 4.7340, 5.0000, 0.0009, 0.0165, 9.7000, 0.3298, -679.4100, 2174.2911, 12.0000, 23.5000, 0.0004, 0.5306, 116.6181, 0.8050, 0.1521, 19.0000, 0.0694, 9.2498, 1.8404, 8.3830, 3.1000, 27.2825, 8.9900, 15.2920, 19.6128, 85.7500, 3.0000, 0.0264, 0.6837
43, 38393, 4.7296, 4.0000, 0.0009, 0.0168, 8.0000, 0.4151, -574.1300, 1568.1922, 8.0000, 19.8750, 0.0002, 0.4497, 95.2348, 0.7948, 0.1613, 38.0000, 0.0387, 9.9757, 1.6541, 7.4465, 5.1000, 46.7260, 8.1700, 11.6795, 14.4909, 105.0037, 7.0000, 0.0272, 0.6272
44, 39351, 4.5570, 4.0000, 0.0006, 0.0215, 7.9000, 0.4304, -570.5600, 2709.0577, 10.5000, 19.7500, 0.0003, 0.6506, 107.4176, 0.7918, 0.1609, 13.0000, 0.0622, 8.7304, 1.5443, 7.2405, 3.1000, 56.1406, 8.4200, 10.3353, 13.4696, 93.0946, 5.0000, 0.0258, 0.7590
1, 0, 4.6667, 4.0000, 0.0250, 0.0000, 18.3000, 0.0000, -425.0000, 451.3417, 4.5000, 15.0000, 0.0099, 0.3125, 546.8750, 0.6538, 0.1538, 0.0000, 0.2179, 6.4617, 1.6667, 16.0000, 3.1000, 62.7900, 8.3300, 5.2467, 6.0000, 18.2857, 0.0000, 0.0000, 0.6250
2, 28, 4.2982, 4.0000, 0.0006, 0.0258, 8.2000, 0.3716, -712.2700, 1736.1658, 11.0000, 24.5556, 0.0002, 0.3799, 142.2551, 0.7537, 0.1610, 32.0000, 0.0560, 10.7493, 1.4817, 7.1193, 5.1000, 56.9017, 8.0300, 11.3402, 13.6231, 70.2962, 13.0000, 0.0426, 0.5371
3, 1270, 3.8800, 4.0000, 0.0008, 0.0165, 9.0000, 0.4000, -724.6000, 2609.5964, 13.0000, 25.0000, 0.0003, 0.5769, 223.7426, 0.8116, 0.1554, 18.0000, 0.0562, 9.3098, 1.7100, 7.2200, 3.1000, 36.7940, 10.4900, 14.3380, 17.6000, 44.6942, 6.0000, 0.0066, 0.6827
4, 1878, 4.4154, 4.0000, 0.0012, 0.0247, 8.2000, 0.3846, -626.9500, 2003.7059, 11.5000, 21.6667, 0.0004, 0.5882, 164.3599, 0.7890, 0.1589, 9.0000, 0.0301, 8.6752, 1.5538, 6.6615, 7.8000, 53.3879, 9.1200, 11.1954, 16.0513, 60.8421, 5.0000, 0.0219, 0.7206
5, 2246, 4.1780, 4.0000, 0.0007, 0.0280, 9.8000, 0.3475, -1147.9400, 2544.3651, 19.0000, 39.3333, 0.0002, 0.5455, 168.0213, 0.8071, 0.1517, 16.0000, 0.0324, 9.5083, 1.5254, 7.0847, 6.4000, 37.8608, 9.7600, 17.7500, 21.1571, 59.5163, 6.0000, 0.0059, 0.6694
6, 2928, 4.0976, 4.0000, 0.0005, 0.0283, 7.6000, 0.3610, -997.6200, 2286.9228, 11.0000, 34.1667, 0.0002, 0.4408, 192.2688, 0.7927, 0.1635, 29.0000, 0.0384, 10.4752, 1.5024, 6.8927, 6.4000, 45.0495, 9.5200, 15.4638, 18.9350, 52.0105, 9.0000, 0.0128, 0.5687
7, 4026, 4.3425, 4.0000, 0.0006, 0.0236, 10.5000, 0.3699, -600.1100, 2872.9026, 8.0000, 20.8571, 0.0002, 0.5098, 155.4957, 0.8045, 0.1483, 24.0000, 0.0472, 9.8773, 1.4863, 7.9452, 8.0000, 59.9239, 9.2100, 10.0826, 13.2744, 64.3104, 7.0000, 0.0135, 0.6340
