round_epochs,acc,loss,val_acc,val_loss,optimizer,dropout,losses,batch_size,epochs,activation
10,0.5895226095414736,0.24009308150965905,0.6169919244359049,0.23714596147652844,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
20,0.6006759613135418,0.23687149188943588,0.6189631377889305,0.23305236669350912,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
10,0.5853823413816645,0.1149352625182373,0.6055588411105213,0.1128832905715019,adam,0.5,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
10,0.6020278841521501,0.11265535967406412,0.6231027007126465,0.11079641666998413,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
20,0.5998310161180822,0.6689409427769737,0.6132466057607368,0.663468800692217,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
20,0.6145331656373801,0.11104960449080856,0.6351271433612192,0.10994485473282681,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
10,0.6036332911663435,0.23383544201608142,0.6215257241884303,0.23181843270617267,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
20,0.5940008460342204,0.6738548306256444,0.6150206984346631,0.6606398230470334,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
20,0.5787917265269542,0.6819817916370919,0.6225113400970247,0.6757226476720068,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
10,0.5839459236583783,0.6766769576787848,0.611669625141859,0.6630834811729673,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
10,0.5996620192727209,0.6712381750106006,0.6156120656299422,0.6641263607782935,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
10,0.6014364248446186,0.6831887136242991,0.6195545101715643,0.6805789580294397,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
20,0.6062526390504173,0.6646871338879755,0.6223142126855262,0.6589303652656964,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
10,0.5809040992104861,0.11557853328914747,0.6132465987287281,0.11414265267664034,adam,0.5,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
20,0.6027883392851918,0.23538785714563257,0.6209343579918493,0.23287505869585312,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
20,0.6076045704129682,0.23461099752757333,0.6290163673782123,0.23148284644540565,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
10,0.5994930361009219,0.11297135658477196,0.6114725078759569,0.11163042215184303,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
20,0.5868187597093071,0.6789336909359399,0.6179775283013766,0.670552838795664,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
10,0.5902830597893014,0.6738483467130254,0.6095012822859437,0.6623005043489797,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
20,0.6196028796438935,0.10990325081975438,0.6325645627952905,0.10859490469283144,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
20,0.6012674283266168,0.672140180686883,0.6266508953660145,0.6675259579621474,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
10,0.5818335524983279,0.11471035742261111,0.6057559702256811,0.11332304119217826,adam,0.5,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
20,0.6130122588463458,0.11125484762385167,0.6282278786461287,0.10959288898231996,adam,0.4,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
20,0.6195183780357513,0.23050220340905836,0.6301990936616927,0.22814989264150495,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
20,0.6061681530925862,0.23562545815650351,0.6171890455614808,0.2317942692410798,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
10,0.6123362970745004,0.23426335823399938,0.612655240269119,0.230663455075445,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
10,0.5505703499561934,0.704477731794761,0.601025042926539,0.6882159458258531,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
10,0.6004224776667686,0.23670931045244553,0.6079243067780497,0.23585843774380827,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
20,0.6160540833823732,0.11062729452159469,0.6315789536425942,0.10935280562363596,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
10,0.5946768071513464,0.23900700059932245,0.6130494768805648,0.234300030228327,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
10,0.5986480787050185,0.6853175524120145,0.620934358285584,0.6796776247922189,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
10,0.6032108154335151,0.6805737282739291,0.6203429929525829,0.6719280281833895,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
10,0.588593164022129,0.11432736815532955,0.609501287808156,0.11186539641257083,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
10,0.6011829393595948,0.6650832905817696,0.6108811429130615,0.6558886141483774,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
20,0.6130967530007598,0.23277000814714058,0.6311847078666258,0.22948996459218188,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
